20010411,"['Info', 'lofty', 'plans']",0
20010510,"['offshore', 'seismic', 'survey', 'Karnataka', 'coast', 'soon']",0
20010511,"['offshore', 'seismic', 'survey', 'Karnataka', 'coast', 'soon']",1
20010528,"['MPs', 'riling', 'back']",1
20010622,"['RPL', 'gets', 'Cabinet', 'nod', 'dilute', 'shares']",0
20010711,"['Indian', 'Oil', 'among', 'Forbes', 'international', '500']",1
20010731,"['keen', 'Enron', 'stake', 'DPC']",1
20010801,"['Godbole', 'panel', 'recommendations', 'applicable', 'Power']",1
20010806,"['Godbole', 'panel', 'report', 'applicable', 'Power']",1
20010810,"['makes', 'mobility', 'cheaper']",1
20010821,"['Infocom', 'open', 'nationwide']",1
20010823,"['urged', 'start', 'gas', 'cracker', 'project']",1
20010823,"['plants', 'peepal', 'trees']",1
20010828,"['plans', 'landline', 'infrastructure', 'year-end']",0
20010910,"['cables', 'stolen']",0
20010912,"['set', 'oil', 'terminal', 'Haldia']",0
20010918,"['cables', 'stolen']",1
20010921,"['spend', '20', 'cr', 'infrastructure', '270', 'villages']",0
20010926,"['shines', 'flat', 'market']",0
20010928,"['Another', 'blow', 'CMC', 'sell-off', 'pulls']",1
20011015,"['seeks', 'Govt', 'nod', 'JV', 'IOC']",1
20011023,"['yet', 'pay', 'MSEB', 'damaging', 'cables']",0
20011031,"['Petroleum', 'GDR', 'issue', 'plans', 'deferred']",1
20011101,"['H1', 'net', '10']",1
20011119,"['sells', '10', 'stake', 'Grasim']",1
20011121,"['Life', 'get', 'IRDA', 'licence', 'Aug', '2002']",0
20011122,"['may', 'get', 'CBM', 'blocks', 'ONGC-IOC']",0
20011122,"['Kerala', 'transport', 'corp', 'self-reliance', 'path']",0
20011207,"['BSNL', 'sign', 'agreement', 'STD', 'charges']",0
20011212,"['says', 'race', 'DPC', 'stake']",1
20011213,"['Govt', 'keeps', 'options', 'open', 'IOC-Reliance', 'JV']",0
20011221,"['go', 'ahead', 'Hirma', 'project']",0
20011224,"['Self', 'reliance', 'papad', 'power']",1
20020108,"['deal', 'Korean', 'service', 'provider']",0
20020114,"['IOC', 'mull', '2-year', 'mkting', 'agreement']",1
20020128,"['signs', 'NLD', 'licence']",1
20020131,"['sets', 'sights', 'e-tailing', 'sector']",1
20020201,"['Q3', 'operating', 'profits', 'tumble', '32']",0
20020207,"['okays', 'Houston', 'company', 'oil', 'drilling']",1
20020225,"['signs', 'licence', 'agreement', 'ILD']",1
20020304,"['Industries', 'enters', 'Fortune', '500', 'club']",1
20020304,"['import', '3.933', 'bn', 'worth', 'crude', 'oil']",1
20020305,"['lot', 'sleeve']",0
20020315,"['resume', 'water', 'supply', 'Jamnagar']",1
20020320,"['CBI', 'chargesheet', 'officials']",0
20020326,"['IOC', 'hopes', 'ink', 'marketing', 'deal', 'week']",0
20020327,"['Kvaerner', 'bags', 'project', 'Hazira']",1
20020403,"['bid', 'PSUs', 'Shourie']",0
20020416,"['exchange', 'sealed']",0
20020416,"['slugs', ';', 'Sun']",0
20020429,"['officials', 'remanded', 'custody']",0
20020430,"['Court', 'stays', 'warrant', 'chief']",0
20020502,"['officials', 'granted', 'bail']",1
20020515,"['Cable', 'damage', 'get', 'notice']",0
20020603,"['present', 'cheque', 'IPCL', 'stake']",1
20020610,"['fined', 'stake', 'case']",1
20020627,"['HC', 'notice', 'official', 'plea']",1
20020701,"['market', 'cap']",1
20020715,"['holding', 'BSES', '9.4']",0
20020719,"['Hughes', 'Tele', 'CEO', 'joins', 'Infocom']",1
20020808,"['Infocomm', 'acquire', 'Sify']",0
20020809,"['denies', 'involvement', 'petro', 'scam']",0
20020918,"['ups', 'stake', 'BSES', '40']",0
20021024,"['Inspection', 'reports', 'sent', 'Sebi', 'DCA']",0
20021028,"['refinery', 'production', '5.5', 'pc', 'Apr-Sep']",0
20021029,"['strikes', 'huge', 'gas', 'reserves', 'Godavari', 'basin']",1
20021029,"['Capital', 'posts', 'flat', 'net', 'profit']",1
20021031,"['gas', 'find', 'fires', 'energy', 'market']",1
20021107,"['MERC', 'admits', 'Patalganga', 'petition']",1
20021111,"['Govt', 'turns', 'plea', 'marketing', 'ATF']",0
20021114,"['promises', 'new', 'IT', 'dawn', 'state']",0
20021118,"['claims', 'offer', 'cheapest', 'telecom', 'services']",1
20021126,"['Govt', 'set', 'facilities', 'bunks']",1
20021202,"['Capital', 'launch', 'new', 'scheme']",1
20021203,"['gas', 'find', 'last', 'yrs', 'Govt']",1
20021212,"['buy', '10', 'choppers']",0
20021218,"['set', 'launch', 'telecom', 'services']",0
20021218,"['Capital', 'MF', 'mobilises', '230', 'cr']",0
20021219,"['comes', 'scanner', 'JPC', 'stock', 'scam']",0
20021219,"['readies', 'serve', 'state', 'WLL']",0
20021220,"['refinery', 'production', 'falls', '20', 'pc', 'Nov']",1
20021226,"['mobile', 'service', 'Delhi', 'mid-Jan']",1
20021227,"['joins', 'mobile', 'war']",1
20030103,"['BSNL', 'files', 'case', 'Telecom']",0
20030108,"['Self-reliance', 'Army', 'long', 'way', 'George']",1
20030109,"['finds', 'gas', 'Gujarat', 'offshore']",1
20030128,"['rallies', 'behind', 'TRAI', 'telecom', 'tariff', 'war']",0
20030129,"['Life', 'Sciences', 'teams', 'Thyrocare', 'Technologies']",1
20030206,"['Too', 'much', 'reliance', 'technology', 'bad', 'Medha', 'Patkar']",1
20030207,"['invest', '563', 'mn', 'nine', 'oil', 'gas', 'blocks']",1
20030214,"['mull', 'bidding', 'HPCL', 'Ambani']",1
20030219,"['revive', 'life', 'insurance', 'plan', 'shortly']",0
20030224,"['finds', 'gas', 'Krishna', 'Godavari', 'Basin']",1
20030225,"['Govt', 'yet', 'confirm', 'gas', 'estimates']",0
20030304,"['Mahajan', 'denies', 'favours']",0
20030307,"['Cap', 'issue', 'preference', 'shares']",0
20030311,"['Qualcomm', 'turns']",1
20030324,"['Special', 'court', 'turns', 'plea', 'OSA', 'case']",0
20030421,"['Has', 'got', 'telecom', 'biz', 'wrong']",0
20030422,"['insures', 'WLL', 'phones', 'NIC']",0
20030423,"['Why', 'panic', 'still', 'growing']",1
20030423,"['net', '45', 'pay', '50']",1
20030424,"['completes', '88', 'pc', 'VPT', 'obligation']",0
20030430,"['supply', 'water', 'Jam', 'Khambhalia']",1
20030528,"['BSNL', 'okays', 'subscribers', 'calls', 'users']",1
20030529,"['offers', 'East', 'coast', 'gas', 'Tata', 'Power']",1
20030603,"['held', 'tampering', 'handsets']",0
20030609,"['BSES', 'called', 'Energy']",1
20030613,"['Infocomm', 'announce', 'new', 'tariff', 'plans']",1
20030613,"['Trai', 'directive', 'tariff', 'creates', 'confusion']",1
20030617,"['Infocomm', 'launches', 'mobile', 'applications']",1
20030618,"['announces', 'new', 'tariff', 'packages']",0
20030625,"['Infocomm', 'introduces', 'Nokia', 'CDMA', 'handsets']",1
20030701,"['skirts', 'big', 'cities', 'petrol', 'pump', 'network']",0
20030701,"['provide', 'connection', '501']",0
20030703,"['snaps', '200', 'BSNL', 'lines']",1
20030703,"['launch', 'operations', 'Karnataka', 'Oct']",1
20030708,"['withdraw', 'Pioneer', 'offer']",0
20030709,"['Monsoon', 'Hungama', 'draws', 'crowds']",0
20030717,"['makes', 'phones', 'talk']",1
20030723,"['ahead', 'companies', 'state']",1
20030724,"['set', 'foray', 'PCO', 'market']",1
20030729,"['Capital', 'net', '7.5', 'pc']",0
20030731,"['Q1', 'net', 'grows', '20', 'pc']",1
20030805,"['Order', 'summoning', 'officials', 'set', 'aside', 'high', 'court']",1
20030818,"['installs', 'security', 'system', 'Dwarka', 'temple']",0
20030818,"['Info', 'considers', 'legal', 'options']",0
20030826,"['offers', 'fixed', 'wireless', 'services']",0
20030827,"['offers', 'fixed', 'wireless']",1
20030828,"['begins', 'due', 'diligence', 'HPCL']",1
20030829,"['services', 'blink']",1
20030909,"['men', 'kept', 'HPCL', 'plant']",1
20030911,"['lodges', 'FIR', 'bill', 'tiff']",1
20030930,"['gas', 'pipeline', 'policy', 'ambit']",0
20030930,"['gas', 'find', 'triggers', '44', 'bids']",0
20031007,"['Self-reliance', 'global', 'success', 'Pitroda']",1
20031008,"['takes', 'stem', 'cell', 'next', 'level']",1
20031014,"['seek', 'legal', 'opinion', 'WLL', 'order']",1
20031014,"['FIIs', 'raise', 'holding', '19.21', 'pc']",1
20031016,"['Q2', 'net', 'jumps', '26', 'pc']",1
20031016,"['buy', 'Flag', '207', 'net', '26', 'pc']",1
20031021,"['cracker', 'unit', 'shut', 'leak']",0
20031106,"['FIIs', 'take', 'stake', 'Energy']",1
20031106,"['angers', 'state', 'govt']",1
20031111,"['buys', 'stake', 'TV18']",0
20031112,"['DoT', 'asks', 'pay', '526', 'cr', 'penalty']",1
20031113,"['Unified', 'licence', 'pays', ';', '542', 'cr']",1
20031114,"['comes', 'calling', 'call', 'centre']",0
20031115,"['Tata', 'WLL', 'mobile']",0
20031120,"['eyes', 'China', 'polymer', 'market']",0
20031205,"['Telecom', 'new', 'offers']",1
20031216,"['signals', 'unsettle', 'Spice', 'customers']",1
20031219,"['slashes', 'roaming', 'call', 'rates']",1
20040113,"['buy', 'US', 'Flag', 'Telecom', '211', 'mn']",1
20040113,"['mocks', 'GSM', 'operators']",1
20040127,"['may', 'rework', '750', 'mn', 'ECB', 'plan']",1
20040129,"['Q3', 'profit', '27']",0
20040130,"['invest', 'telecom', 'sector']",0
20040206,"['pre-paid', 'service', 'soon']",0
20040206,"['announce', 'pre-paid', 'services', 'Monday']",0
20040209,"['Info', 'launches', 'pre-paid', 'service']",1
20040210,"['Infocomm', 'launches', 'pre-paid', 'service']",1
20040217,"['may', 'get', 'six-month', 'poll', 'breather', 'oil', 'deal']",1
20040219,"['power', 'unit', 'near', 'Delhi']",0
20040220,"['Cell', 'scam', 'entangles']",0
20040220,"['reacts', 'cell', 'scam']",0
20040223,"['start', 'work', '3500', 'MW', 'plant', 'UP']",0
20040226,"['Nirma', 'Ghogha', 'power', 'project']",0
20040226,"['oil', 'outlets', 'Jamnagar', 'Hazira', 'Mumbai']",0
20040303,"['Self-reliance', 'key', 'competitiveness', 'Menon']",1
20040305,"['Infocomm', 'targets', '30', 'pc', 'growth']",1
20040309,"['Infocomm', 'prowl']",1
20040402,"['buys', '0.9', 'ONGC']",1
20040405,"['launches', 'international', 'roaming']",0
20040412,"['Info', 'eyes', 'pre-paid', 'users']",0
20040413,"['FIIs', 'stake', 'Capital']",1
20040413,"['largest', 'wealth', 'creator']",1
20040413,"['group', 'largest', 'wealth', 'creator', 'FY-04']",1
20040419,"['Info', 'offer', 'ESOPs']",1
20040420,"['house', 'top', 'bosses', 'Seawoods']",0
20040420,"['MF', 'collects', '415', 'crore']",0
20040421,"['house', 'top', 'bosses', 'Seawoods']",1
20040421,"['Infocomm', 'offers', 'new', 'multimedia', 'handsets']",1
20040423,"['seeks', 'Nabard', 'aid']",1
20040427,"['double', 'polyester', 'capacity']",0
20040429,"['profits', 'cross', 'bn']",0
20040430,"['shines', 'Sensex', 'wanes']",1
20040505,"['kickstarts', 'broadband', 'operations']",0
20040510,"['MF', 'files', 'prospectus', 'SEBI']",0
20040511,"['Info', 'lowers', 'STD', 'charges']",0
20040610,"['Legislators', 'head', 'Friday', 'showdown']",0
20040611,"['Cabinet', 'okays', 'project']",0
20040624,"['strikes', 'gas', 'Orissa', 'Coast']",0
20040624,"['acquires', 'Trevira', 'GmbH']",0
20040625,"['buy', 'German', 'firm', '97', 'mn']",1
20040630,"['Techs', 'pull', 'Sensex']",0
20040702,"['ONGC', 'pull', 'Sensex']",0
20040708,"['buys', 'NIS', 'Sparta']",1
20040716,"['invites', 'bids', 'mobile', 'account']",1
20040716,"['set', 'plant', 'AP']",1
20040805,"['set', 'get', 'nod', 'lay', 'gas', 'pipeline']",1
20040813,"['Info', 'legal', 'eagles', 'swoop', 'defaulters']",0
20040827,"['COUNTERVIEWBRSelf', 'reliance', 'much', 'excess', 'baggage']",0
20040902,"['eyes', 'automotive', 'biz']",0
20040903,"['cuts', 'STD', 'Re', '1/min']",0
20040908,"['Info', 'expand', 'presence', 'Bengal']",1
20040916,"['Infocomm', 'invest', '300', 'crore', 'Karnataka']",1
20040922,"['Intel-Reliance', 'deal', 'push', 'broadband']",0
20040930,"['Infocomm', 'launches', 'Mobile', 'office']",1
